AuditType,Human
IDENTITY_PROTECTION_LEARNING_QUEUE_EXTENDED,Asset learning extended (identity)
IDENTITY_PROTECTION_LEARNING_QUEUE_POSTPONED,Asset segmentation date postponed (identity)
IDENTITY_PROTECTION_LEARNING_QUEUE_DONE,Asset learning is done (identity)
IDENTITY_PROTECTION_LEARNING_QUEUE_UNDONE,Asset is back to learning (identity)
IDENTITY_RULE_ADDED,Identity rule created
IDENTITY_RULE_REMOVED,Identity rule deleted
IDENTITY_RULE_EXPIRED,Identity rule expired
IDENTITY_RULE_EDITED,Identity rule edited
IDENTITY_JIT_RULE_ADDED,Identity JIT rule created
IDENTITY_JIT_RULE_REMOVED,Identity JIT rule deleted
IDENTITY_JIT_RULE_EXPIRED,Identity JIT rule expired
IDENTITY_JIT_RULE_EDITED,Identity JIT rule edited
USER_IDENTITY_UNPROTECTED,User unsegmented (identity)
USER_IDENTITY_PROTECTED,User segmented (identity)
USER_IDENTITY_QUEUED,User added to learning (identity)
USER_IDENTITY_QUEUED_REMOVED,User removed from learning (identity)
USER_IDENTITY_REACTIVE_POLICY_ADDED,Identity MFA policy created
USER_IDENTITY_REACTIVE_POLICY_EDITED,Identity MFA policy edited
USER_IDENTITY_REACTIVE_POLICY_REMOVED,Identity MFA policy deleted
ASSET_RPC_MONITORING_ADDED,Asset added to RPC monitoring
ASSET_RPC_MONITORING_REMOVED,Asset removed from RPC monitoring
USER_TYPE_UPDATED,User classification changed
ASSET_MARKED_AS_MANUALLY_INACTIVE,Asset manually marked as inactive
ASSET_MARKED_AS_MANUALLY_ACTIVE,Asset manually marked as active
ASSET_MARKED_AS_INACTIVE_BY_REPO,Asset marked as inactive by repo
ASSET_MARKED_AS_ACTIVE_BY_REPO,Asset marked as active by repo
ASSET_REVIVED_BUT_STILL_INACTIVE,Asset was revived but still marked as inactive
GROUP_MARKED_AS_INACTIVE_BY_REPO,Group marked as inactive by repo
GROUP_MARKED_AS_ACTIVE_BY_REPO,Group marked as active by repo
TAG_GROUP_CREATED,Tag group created
USER_MARKED_AS_INACTIVE_BY_REPO,User marked as inactive by repo
USER_MARKED_AS_ACTIVE_BY_REPO,User marked as active by repo
USER_REVIVED_BUT_STILL_INACTIVE,User was revived but still marked as inactive
USER_MARKED_AS_MANUALLY_ACTIVE,User manually marked as active
USER_MARKED_AS_MANUALLY_INACTIVE,User manually marked as inactive
USER_MARKED_AS_DISABLED,The user was marked as disabled
USER_MARKED_AS_ENABLED,The User has become enabled from a disabled state
USER_REVIVED_BUT_STILL_DISABLED,"The user was revived from inactive by user repository state, into a disabled state"
USER_MARK_AS_MANUAL_INACTIVE_FROM_DISABLED,The user was manually set as inactive from a disabled state
USER_MARK_AS_REPO_INACTIVE_FROM_DISABLED,User was marked as inactive due to a change in the user repository from a disabled state
BREAK_GLASS_CONFIG_ACTIVATED,Break glass activated
BREAK_GLASS_CONFIG_DEACTIVATED,Break glass deactivated
ASSET_BREAK_GLASS_CONFIG_ACTIVATED,Break glass activated for asset
ASSET_BREAK_GLASS_CONFIG_DEACTIVATED,Break glass deactivated for asset
RPC_PROTECTION_ADDING,Asset is being segmented (RPC)
RPC_PROTECTION_ADDED,Asset segmented (RPC)
RPC_PROTECTION_REMOVING,Asset is being unsegmented (RPC)
RPC_PROTECTION_REMOVED,Asset unsegmented (RPC)
RPC_PROTECTION_QUEUED,Asset added to learning (RPC)
RPC_PROTECTION_QUEUE_REMOVED,Asset removed from learning (RPC)
RPC_PROTECTION_LEARNING_QUEUE_EXTENDED,Asset learning extended (RPC)
RPC_PROTECTION_LEARNING_QUEUE_POSTPONED,Asset segmentation date postponed (RPC)
RPC_PROTECTION_LEARNING_QUEUE_DONE,Asset learning is done (RPC)
RPC_PROTECTION_LEARNING_QUEUE_UNDONE,Asset is back to learning (RPC)
RPC_RULE_ADDED,RPC rule created
RPC_RULE_REMOVED,RPC rule deleted
RPC_RULE_EXPIRED,RPC rule expired
RPC_RULE_EDITED,RPC rule edited
USER_IDENTITY_QUEUED_DONE,User learning is done (identity)
USER_IDENTITY_QUEUED_UNDONE,User is back to learning (identity)
ASSET_ADDED_TO_TAG_GROUP,Asset added to tag
ASSET_REMOVED_FROM_TAG_GROUP,Asset removed from tag
ASSET_TYPE_CHANGED,Asset type changed
OS_TYPE_CHANGED,Asset OS type changed
ASSET_ADDED_TO_ENVIRONMENT,Asset added to environment
ASSET_REMOVED_FROM_ENVIRONMENT,Asset removed from environment
ASSET_ENVIRONMENT_UPDATED,Asset environment updated
ENFORCING_BLOCK_RULES,Enforcing block rules
ENFORCING_BLOCK_RULES_DUE_TO_POLICY,Enforcing block rules due to policy
BLOCK_RULES_ENFORCED,Block rules enforced
REMOVING_BLOCK_RULES,Removing block rules
OCCASIONAL_MFA_CONFIG_ADDED,Cache MFA config created
OCCASIONAL_MFA_CONFIG_UPDATED,Cache MFA config updated
OCCASIONAL_MFA_CONFIG_REMOVED,Cache MFA config removed
SSP_LOGON,Access portal logon
EXTERNAL_ACCESS_POLICY_ADDED,External MFA policy created
EXTERNAL_ACCESS_POLICY_REMOVED,External MFA policy removed
EXTERNAL_ACCESS_POLICY_EDITED,External MFA policy edited
SWITCH_ADDED,Switch added
SWITCH_EDITED,Switch edited
SWITCH_REMOVED,Switch deleted
SWITCH_RULE_ADDED,OT/IoT rule added
SWITCH_RULE_EDITED,OT/IoT rule edited
SWITCH_RULE_REMOVED,OT/IoT rule deleted
SWITCH_RULE_EXPIRED,OT/IoT rule expired
OT_PROTECTION_ADDING,OT/IoT is being segmented
OT_PROTECTION_ADDED,OT/IoT segmented
OT_PROTECTION_REMOVING,OT/IoT is being unsegmented
OT_PROTECTION_REMOVED,OT/IoT unsegmented
DOWNLOAD_PORTAL_LOGON,Download portal logon
EXTERNAL_ACCESS_PORTAL_LOGON,External access portal logon
MAINTENANCE_WINDOW_ADDED,Maintenance window added
MAINTENANCE_WINDOW_UPDATED,Maintenance window edited
MAINTENANCE_WINDOW_DELETED,Maintenance window deleted
MAINTENANCE_WINDOW_SET_AS_DEFAULT,Maintenance window set as default
PORTAL_USER_ADDED_TO_ENV,Custom user created
PORTAL_USER_REMOVED_FROM_ENV,Custom user deleted
PORTAL_USER_INVITED_TO_ENV,Custom user invited
PORTAL_USER_REINVITED_TO_ENV,Custom user re-invited
PORTAL_USER_ROLE_CHANGED_TO_ADMIN,Custom user role changed to admin
PORTAL_USER_ROLE_CHANGED_TO_OPERATOR,Custom user role changed to operator
PORTAL_USER_ROLE_CHANGED_TO_VIEWER,Custom user role changed to viewer
PORTAL_USER_ACCEPTED_INVITE_TO_ENV,Custom user approved invite
PORTAL_USER_REJECTED_INVITE_TO_ENV,Custom user rejected invite
USERS_PROTECTION_LEARNING_PERIOD_EXTENDED,User learning extended (identity)
ASSET_OUTBOUND_RESTRICTION_CHANGED,Asset restricted outbound changed
ASSET_OUTBOUND_RESTRICTION_ENABLED,Asset restricted outbound enabled
ASSET_OUTBOUND_RESTRICTION_DISABLED,Asset restricted outbound disabled
ASSET_MIRRORED,Asset mirrored
ASSET_QUARANTINE_ENABLED,Asset quarantined
ASSET_QUARANTINE_DISABLED,Asset unquarantined
INBOUND_AE_EXCLUSION_REMOVED,Inbound AE exclusion deleted
OUTBOUND_AE_EXCLUSION_REMOVED,Outbound AE exclusion deleted
MONITOR_SWITCH_INTERFACES,Added switch interfaces to monitor
UNMONITOR_SWITCH_INTERFACES,Removed switch interfaces to monitor
